Experiment;Condition;Run;Sequence;Total;Application
exp1c;control-customactionselection;15;5;10667;8243
exp1c;control-customactionselection;15;7;11078;8654
exp1c;control-customactionselection;15;0;8247;5906
exp1c;control-customactionselection;15;1;8644;6303
exp1c;control-customactionselection;15;8;11078;8654
exp1c;control-customactionselection;15;4;10666;8242
exp1c;control-customactionselection;15;6;10929;8505
exp1c;control-customactionselection;15;3;10666;8242
exp1c;control-customactionselection;15;9;11078;8654
exp1c;control-customactionselection;15;2;10005;7587
exp1c;control-customactionselection;10;1;10545;8069
exp1c;control-customactionselection;10;9;11253;8777
exp1c;control-customactionselection;10;3;10943;8467
exp1c;control-customactionselection;10;7;11253;8777
exp1c;control-customactionselection;10;8;11253;8777
exp1c;control-customactionselection;10;5;10994;8518
exp1c;control-customactionselection;10;2;10563;8087
exp1c;control-customactionselection;10;4;10943;8467
exp1c;control-customactionselection;10;0;9764;7346
exp1c;control-customactionselection;10;6;10994;8518
exp1c;control-defaultactionselection;16;1;11703;9270
exp1c;control-defaultactionselection;16;0;10248;7830
exp1c;control-defaultactionselection;16;8;14893;12115
exp1c;control-defaultactionselection;16;9;14893;12115
exp1c;control-defaultactionselection;16;4;13262;10793
exp1c;control-defaultactionselection;16;3;12135;9702
exp1c;control-defaultactionselection;16;7;14718;11940
exp1c;control-defaultactionselection;16;6;14718;11940
exp1c;control-defaultactionselection;16;2;11704;9271
exp1c;control-defaultactionselection;16;5;13738;10968
exp1c;control-customactionselection;4;8;11129;8705
exp1c;control-customactionselection;4;6;10668;8250
exp1c;control-customactionselection;4;0;8371;6031
exp1c;control-customactionselection;4;4;10661;8243
exp1c;control-customactionselection;4;2;10189;7771
exp1c;control-customactionselection;4;7;11004;8580
exp1c;control-customactionselection;4;5;10668;8250
exp1c;control-customactionselection;4;1;9071;6730
exp1c;control-customactionselection;4;3;10280;7862
exp1c;control-customactionselection;4;9;11776;9352
exp1c;control-customactionselection;31;6;11075;8651
exp1c;control-customactionselection;31;8;11165;8741
exp1c;control-customactionselection;31;3;10503;8079
exp1c;control-customactionselection;31;1;9979;7555
exp1c;control-customactionselection;31;7;11120;8696
exp1c;control-customactionselection;31;9;11249;8825
exp1c;control-customactionselection;31;5;10625;8201
exp1c;control-customactionselection;31;0;9279;6855
exp1c;control-customactionselection;31;2;10307;7883
exp1c;control-customactionselection;31;4;10504;8080
exp1c;experimental;28;3;11805;9071
exp1c;experimental;28;8;12241;9423
exp1c;experimental;28;1;10221;7803
exp1c;experimental;28;2;11555;8821
exp1c;experimental;28;5;11857;9123
exp1c;experimental;28;4;11805;9071
exp1c;experimental;28;6;11965;9205
exp1c;experimental;28;7;12241;9423
exp1c;experimental;28;0;8963;6546
exp1c;experimental;51;0;9529;7111
exp1c;experimental;51;2;10265;7847
exp1c;experimental;51;3;10278;7860
exp1c;experimental;51;9;12645;10161
exp1c;experimental;51;7;12257;9773
exp1c;experimental;51;5;11227;8743
exp1c;experimental;51;6;12257;9773
exp1c;experimental;51;1;10065;7647
exp1c;experimental;51;4;10736;8260
exp1c;experimental;51;8;12319;9835
exp1c;control-customactionselection;1;1;11736;9011
exp1c;control-customactionselection;1;6;12359;9634
exp1c;control-customactionselection;1;4;12346;9621
exp1c;control-customactionselection;1;8;12412;9687
exp1c;control-customactionselection;1;3;12301;9576
exp1c;control-customactionselection;1;9;12412;9687
exp1c;control-customactionselection;1;2;12080;9355
exp1c;control-customactionselection;1;0;9264;6840
exp1c;control-customactionselection;1;7;12363;9638
exp1c;control-customactionselection;1;5;12346;9621
exp1c;experimental;4;1;8915;6574
exp1c;experimental;4;8;11835;9412
exp1c;experimental;4;4;10818;8400
exp1c;experimental;4;3;10601;8183
exp1c;experimental;4;2;10276;7858
exp1c;experimental;4;6;11760;9337
exp1c;experimental;4;9;12119;9696
exp1c;experimental;4;0;8766;6425
exp1c;experimental;4;7;11778;9355
exp1c;control-defaultactionselection;15;6;14421;11637
exp1c;control-defaultactionselection;15;8;14814;11799
exp1c;control-defaultactionselection;15;4;14401;11617
exp1c;control-defaultactionselection;15;3;14285;11501
exp1c;control-defaultactionselection;15;2;13722;10938
exp1c;control-defaultactionselection;15;1;13561;10783
exp1c;control-defaultactionselection;15;0;11924;9154
exp1c;control-defaultactionselection;15;9;14814;11799
exp1c;control-defaultactionselection;15;5;14401;11617
exp1c;control-defaultactionselection;15;7;14814;11799
exp1c;control-customactionselection;28;6;10389;8030
exp1c;control-customactionselection;28;3;10050;7709
exp1c;control-customactionselection;28;7;10389;8030
exp1c;control-customactionselection;28;0;8776;6436
exp1c;control-customactionselection;28;9;10861;8437
exp1c;control-customactionselection;28;8;10861;8437
exp1c;control-customactionselection;28;4;10199;7858
exp1c;control-customactionselection;28;5;10389;8030
exp1c;control-customactionselection;28;2;10032;7691
exp1c;control-customactionselection;28;1;9903;7562
exp1c;control-defaultactionselection;19;4;14471;11462
exp1c;control-defaultactionselection;19;7;14675;11666
exp1c;control-defaultactionselection;19;0;11739;9321
exp1c;control-defaultactionselection;19;3;14078;11300
exp1c;control-defaultactionselection;19;8;14702;11693
exp1c;control-defaultactionselection;19;1;13050;10624
exp1c;control-defaultactionselection;19;6;14674;11665
exp1c;control-defaultactionselection;19;9;14929;11920
exp1c;control-defaultactionselection;19;2;13156;10730
exp1c;control-defaultactionselection;19;5;14617;11608
exp1c;experimental;13;7;13142;10126
exp1c;experimental;13;0;9975;7549
exp1c;experimental;13;3;11821;8863
exp1c;experimental;13;6;12740;9782
exp1c;experimental;13;5;12695;9737
exp1c;experimental;13;2;11426;8699
exp1c;experimental;13;4;12284;9326
exp1c;experimental;13;1;10458;8032
exp1c;experimental;13;9;13423;10407
