Experiment;Condition;Run;Sequence;Result
exp1c;control-customactionselection;15;1;0
exp1c;control-customactionselection;15;2;0
exp1c;control-customactionselection;15;3;0
exp1c;control-customactionselection;15;4;0
exp1c;control-customactionselection;15;5;0
exp1c;control-customactionselection;15;6;0
exp1c;control-customactionselection;15;7;0
exp1c;control-customactionselection;15;8;0
exp1c;control-customactionselection;15;9;0
exp1c;control-customactionselection;15;10;0
exp1c;control-customactionselection;10;1;0
exp1c;control-customactionselection;10;2;0
exp1c;control-customactionselection;10;3;0
exp1c;control-customactionselection;10;4;0
exp1c;control-customactionselection;10;5;0
exp1c;control-customactionselection;10;6;0
exp1c;control-customactionselection;10;7;0
exp1c;control-customactionselection;10;8;0
exp1c;control-customactionselection;10;9;0
exp1c;control-customactionselection;10;10;0
exp1c;control-defaultactionselection;16;1;0
exp1c;control-defaultactionselection;16;2;0
exp1c;control-defaultactionselection;16;3;0
exp1c;control-defaultactionselection;16;4;0
exp1c;control-defaultactionselection;16;5;0
exp1c;control-defaultactionselection;16;6;0
exp1c;control-defaultactionselection;16;7;0
exp1c;control-defaultactionselection;16;8;0
exp1c;control-defaultactionselection;16;9;0
exp1c;control-defaultactionselection;16;10;0
exp1c;control-customactionselection;4;1;0
exp1c;control-customactionselection;4;2;0
exp1c;control-customactionselection;4;3;0
exp1c;control-customactionselection;4;4;0
exp1c;control-customactionselection;4;5;0
exp1c;control-customactionselection;4;6;0
exp1c;control-customactionselection;4;7;0
exp1c;control-customactionselection;4;8;0
exp1c;control-customactionselection;4;9;0
exp1c;control-customactionselection;4;10;0
exp1c;control-customactionselection;31;1;0
exp1c;control-customactionselection;31;2;0
exp1c;control-customactionselection;31;3;0
exp1c;control-customactionselection;31;4;0
exp1c;control-customactionselection;31;5;0
exp1c;control-customactionselection;31;6;0
exp1c;control-customactionselection;31;7;0
exp1c;control-customactionselection;31;8;0
exp1c;control-customactionselection;31;9;0
exp1c;control-customactionselection;31;10;0
exp1c;experimental;28;1;0
exp1c;experimental;28;2;0
exp1c;experimental;28;3;1
exp1c;experimental;28;4;1
exp1c;experimental;28;5;1
exp1c;experimental;28;6;1
exp1c;experimental;28;7;1
exp1c;experimental;28;8;1
exp1c;experimental;28;9;1
exp1c;experimental;51;1;0
exp1c;experimental;51;2;0
exp1c;experimental;51;3;0
exp1c;experimental;51;4;0
exp1c;experimental;51;5;0
exp1c;experimental;51;6;0
exp1c;experimental;51;7;0
exp1c;experimental;51;8;0
exp1c;experimental;51;9;0
exp1c;experimental;51;10;0
exp1c;control-customactionselection;1;1;0
exp1c;control-customactionselection;1;2;0
exp1c;control-customactionselection;1;3;0
exp1c;control-customactionselection;1;4;0
exp1c;control-customactionselection;1;5;0
exp1c;control-customactionselection;1;6;0
exp1c;control-customactionselection;1;7;0
exp1c;control-customactionselection;1;8;0
exp1c;control-customactionselection;1;9;0
exp1c;control-customactionselection;1;10;0
exp1c;experimental;4;1;0
exp1c;experimental;4;2;0
exp1c;experimental;4;3;0
exp1c;experimental;4;4;0
exp1c;experimental;4;5;0
exp1c;experimental;4;6;0
exp1c;experimental;4;7;0
exp1c;experimental;4;8;0
exp1c;experimental;4;9;0
exp1c;experimental;4;10;0
exp1c;plain;1;1;0
exp1c;plain;1;2;0
exp1c;plain;1;3;0
exp1c;plain;1;4;0
exp1c;plain;1;5;0
exp1c;plain;1;6;0
exp1c;plain;1;7;0
exp1c;plain;1;8;0
exp1c;plain;1;9;0
exp1c;plain;1;10;0
exp1c;control-defaultactionselection;15;1;0
exp1c;control-defaultactionselection;15;2;0
exp1c;control-defaultactionselection;15;3;0
exp1c;control-defaultactionselection;15;4;0
exp1c;control-defaultactionselection;15;5;0
exp1c;control-defaultactionselection;15;6;0
exp1c;control-defaultactionselection;15;7;0
exp1c;control-defaultactionselection;15;8;1
exp1c;control-defaultactionselection;15;9;0
exp1c;control-defaultactionselection;15;10;0
exp1c;control-customactionselection;28;1;0
exp1c;control-customactionselection;28;2;0
exp1c;control-customactionselection;28;3;0
exp1c;control-customactionselection;28;4;0
exp1c;control-customactionselection;28;5;0
exp1c;control-customactionselection;28;6;0
exp1c;control-customactionselection;28;7;0
exp1c;control-customactionselection;28;8;0
exp1c;control-customactionselection;28;9;0
exp1c;control-customactionselection;28;10;0
exp1c;control-defaultactionselection;19;1;0
exp1c;control-defaultactionselection;19;2;0
exp1c;control-defaultactionselection;19;3;0
exp1c;control-defaultactionselection;19;4;0
exp1c;control-defaultactionselection;19;5;1
exp1c;control-defaultactionselection;19;6;0
exp1c;control-defaultactionselection;19;7;0
exp1c;control-defaultactionselection;19;8;0
exp1c;control-defaultactionselection;19;9;0
exp1c;control-defaultactionselection;19;10;0
exp1c;experimental;13;1;0
exp1c;experimental;13;2;0
exp1c;experimental;13;3;0
exp1c;experimental;13;4;1
exp1c;experimental;13;5;0
exp1c;experimental;13;6;0
exp1c;experimental;13;7;0
exp1c;experimental;13;8;0
exp1c;experimental;13;9;1
exp1c;experimental;13;10;0
exp1c;experimental;3;1;0
exp1c;experimental;3;2;0
exp1c;experimental;3;3;0
exp1c;experimental;3;4;0
exp1c;experimental;3;5;0
exp1c;experimental;3;6;0
exp1c;experimental;3;7;0
exp1c;experimental;3;8;0
exp1c;experimental;3;9;0
exp1c;experimental;3;10;0
exp1c;control-defaultactionselection;10;1;0
exp1c;control-defaultactionselection;10;2;0
exp1c;control-defaultactionselection;10;3;0
exp1c;control-defaultactionselection;10;4;0
exp1c;control-defaultactionselection;10;5;0
exp1c;control-defaultactionselection;10;6;0
exp1c;control-defaultactionselection;10;7;0
exp1c;control-defaultactionselection;10;8;0
exp1c;control-defaultactionselection;10;9;0
exp1c;control-defaultactionselection;10;10;1
exp1c;experimental;42;1;0
exp1c;experimental;42;2;0
exp1c;experimental;42;3;0
exp1c;experimental;42;4;0
exp1c;experimental;42;5;0
exp1c;experimental;42;6;0
exp1c;experimental;42;7;0
exp1c;experimental;42;8;1
exp1c;experimental;42;9;0
exp1c;experimental;42;10;0
exp1c;control-defaultactionselection;21;1;0
exp1c;control-defaultactionselection;21;2;0
