Experiment;Condition;Run;Runtime;Actions
exp1c;control-customactionselection;15;31624424;3030
exp1c;control-customactionselection;10;29175255;3030
exp1c;control-defaultactionselection;16;34784720;3030
exp1c;control-customactionselection;4;28932376;3030
exp1c;control-customactionselection;31;28333955;3030
exp1c;experimental;28;67945716;2615
exp1c;experimental;51;52416640;3030
exp1c;control-customactionselection;1;28719281;3030
exp1c;experimental;4;39723912;3030
exp1c;plain;1;3934148;3030
exp1c;control-defaultactionselection;15;35580759;2861
exp1c;control-customactionselection;28;28823685;3030
exp1c;control-defaultactionselection;19;32678798;2815
exp1c;experimental;13;50388547;2510
exp1c;experimental;3;46048096;3030
exp1c;control-defaultactionselection;10;35564000;2979
exp1c;experimental;42;52781618;2808
exp1c;control-defaultactionselection;21;34601123;3030
exp1c;control-defaultactionselection;26;35420212;3030
exp1c;control-customactionselection;9;26587722;2825
exp1c;experimental;10;41978097;2574
exp1c;control-defaultactionselection;17;34698107;3030
exp1c;plain;12;3527203;2792
exp1c;control-customactionselection;5;29964689;3030
exp1c;plain;35;3781955;3030
exp1c;control-defaultactionselection;6;30796666;2799
exp1c;experimental;55;43570161;2678
exp1c;control-defaultactionselection;28;33613499;3030
exp1c;experimental;44;49542520;3009
exp1c;plain;32;3886404;3030
exp1c;experimental;32;50182746;2366
exp1c;plain;19;3902464;3030
exp1c;experimental;15;43181329;2615
exp1c;experimental;16;42505646;2776
exp1c;control-customactionselection;21;29383230;3030
exp1c;experimental;38;52841737;2848
exp1c;experimental;56;37120444;2688
exp1c;control-customactionselection;19;28907674;2903
exp1c;control-customactionselection;12;29697096;2901
exp1c;control-customactionselection;23;29296417;3030
exp1c;plain;6;3714476;2853
exp1c;control-defaultactionselection;18;33849299;3030
exp1c;control-defaultactionselection;4;31042964;2860
exp1c;control-defaultactionselection;14;32274195;3030
exp1c;experimental;2;36313907;2691
exp1c;control-customactionselection;3;28067261;3030
exp1c;plain;24;3871251;3030
exp1c;control-defaultactionselection;8;30285373;2797
exp1c;plain;13;3853360;3030
exp1c;control-defaultactionselection;25;31167335;2800
exp1c;control-customactionselection;32;27940110;3030
exp1c;control-customactionselection;16;30914351;3030
exp1c;experimental;27;29287880;2043
exp1c;plain;3;3925398;3030
exp1c;control-customactionselection;25;29131379;3030
exp1c;experimental;23;51261464;2935
exp1c;control-customactionselection;6;28759767;3030
exp1c;plain;30;3816670;3030
exp1c;control-defaultactionselection;3;32463167;3030
exp1c;control-defaultactionselection;12;31969308;2837
exp1c;control-customactionselection;33;23462383;2564
exp1c;control-defaultactionselection;2;30355332;2705
exp1c;experimental;1;30931934;2524
exp1c;plain;4;3906845;3030
exp1c;plain;31;3664142;2849
exp1c;plain;33;3896350;3030
exp1c;experimental;14;43112649;2760
exp1c;control-defaultactionselection;13;34918899;3030
exp1c;control-defaultactionselection;34;32579088;3030
exp1c;plain;20;3902296;3027
exp1c;plain;28;3487850;2711
exp1c;plain;2;3643439;2842
exp1c;plain;29;3834791;3030
exp1c;experimental;22;43692397;2206
exp1c;control-defaultactionselection;31;31264697;3030
exp1c;plain;27;3564954;2774
exp1c;control-customactionselection;26;29800232;3030
exp1c;plain;14;3896146;3030
exp1c;control-defaultactionselection;27;34226081;3030
exp1c;plain;15;3387443;2601
exp1c;plain;9;3860934;3030
exp1c;experimental;12;50945024;3030
exp1c;control-customactionselection;18;29079799;3030
exp1c;control-customactionselection;29;28645356;3030
exp1c;plain;8;3881431;3030
exp1c;experimental;52;58953138;2828
exp1c;experimental;11;53350970;3028
exp1c;control-customactionselection;35;28695828;3030
exp1c;control-defaultactionselection;23;33492118;2978
exp1c;experimental;6;41029477;2461
exp1c;control-customactionselection;27;30258299;3030
exp1c;control-customactionselection;14;32465097;3030
exp1c;experimental;31;35761625;2583
exp1c;control-customactionselection;30;28623689;3030
exp1c;experimental;5;43196333;2482
exp1c;control-defaultactionselection;33;31979688;3030
exp1c;experimental;7;31769160;1576
exp1c;control-defaultactionselection;24;35341880;3030
exp1c;experimental;34;31382708;3030
exp1c;control-customactionselection;17;30088324;3030
exp1c;experimental;21;45720413;2976
exp1c;plain;7;3835609;2984
exp1c;control-customactionselection;8;27483230;3030
exp1c;plain;26;3380159;2628
exp1c;plain;34;3843084;3030
exp1c;experimental;35;49878002;2459
exp1c;control-defaultactionselection;5;33944190;3030
exp1c;control-defaultactionselection;22;36264854;3030
exp1c;control-customactionselection;2;28051333;3030
exp1c;control-defaultactionselection;1;32132521;2884
exp1c;control-defaultactionselection;32;31868630;3030
exp1c;plain;11;4225894;3030
exp1c;control-customactionselection;20;27270227;2754
exp1c;control-customactionselection;11;28649497;3030
exp1c;control-defaultactionselection;7;32746985;3030
exp1c;experimental;53;42014769;2764
exp1c;control-customactionselection;13;31434683;3030
exp1c;control-customactionselection;22;29253197;3030
exp1c;control-defaultactionselection;35;30019199;2767
exp1c;plain;25;4216765;3030
exp1c;experimental;24;40426700;2641
exp1c;plain;22;3789857;3030
exp1c;plain;5;3861656;3030
exp1c;control-defaultactionselection;20;34002849;3030
exp1c;experimental;33;48897307;2850
exp1c;plain;21;3911898;3030
exp1c;control-defaultactionselection;11;35371033;3030
exp1c;plain;10;3828035;3030
exp1c;control-customactionselection;7;30780875;3030
exp1c;plain;17;3528806;2745
exp1c;experimental;41;54394868;2867
exp1c;control-customactionselection;24;29158650;3030
exp1c;plain;23;3873638;3030
exp1c;plain;16;3747752;2908
exp1c;experimental;43;57031973;3030
exp1c;control-defaultactionselection;9;31682350;2836
exp1c;control-customactionselection;34;28372280;3030
exp1c;control-defaultactionselection;29;32991598;2795
exp1c;plain;18;3868411;3030
exp1c;control-defaultactionselection;30;31544698;2800
