Experiment;Condition;Run;Sequence;Time
exp1c;control-customactionselection;15;1;3169786
exp1c;control-customactionselection;15;2;2696348
exp1c;control-customactionselection;15;3;3165378
exp1c;control-customactionselection;15;4;3114809
exp1c;control-customactionselection;15;5;3078425
exp1c;control-customactionselection;15;6;2983537
exp1c;control-customactionselection;15;7;3500581
exp1c;control-customactionselection;15;8;3198842
exp1c;control-customactionselection;15;9;3144153
exp1c;control-customactionselection;15;10;3119384
exp1c;control-customactionselection;10;1;2914606
exp1c;control-customactionselection;10;2;2945884
exp1c;control-customactionselection;10;3;2884886
exp1c;control-customactionselection;10;4;2885980
exp1c;control-customactionselection;10;5;2871202
exp1c;control-customactionselection;10;6;2816637
exp1c;control-customactionselection;10;7;2833429
exp1c;control-customactionselection;10;8;2988644
exp1c;control-customactionselection;10;9;2795149
exp1c;control-customactionselection;10;10;2805229
exp1c;control-defaultactionselection;16;1;2955987
exp1c;control-defaultactionselection;16;2;3403139
exp1c;control-defaultactionselection;16;3;2641401
exp1c;control-defaultactionselection;16;4;3700651
exp1c;control-defaultactionselection;16;5;3826374
exp1c;control-defaultactionselection;16;6;3619825
exp1c;control-defaultactionselection;16;7;3545333
exp1c;control-defaultactionselection;16;8;3508650
exp1c;control-defaultactionselection;16;9;3654902
exp1c;control-defaultactionselection;16;10;3488264
exp1c;control-customactionselection;4;1;2911006
exp1c;control-customactionselection;4;2;2720597
exp1c;control-customactionselection;4;3;2807369
exp1c;control-customactionselection;4;4;2908228
exp1c;control-customactionselection;4;5;2895019
exp1c;control-customactionselection;4;6;2848542
exp1c;control-customactionselection;4;7;2918375
exp1c;control-customactionselection;4;8;2645602
exp1c;control-customactionselection;4;9;2845485
exp1c;control-customactionselection;4;10;3026067
exp1c;control-customactionselection;31;1;2858764
exp1c;control-customactionselection;31;2;2880408
exp1c;control-customactionselection;31;3;2955876
exp1c;control-customactionselection;31;4;2828283
exp1c;control-customactionselection;31;5;2816806
exp1c;control-customactionselection;31;6;2816896
exp1c;control-customactionselection;31;7;2674997
exp1c;control-customactionselection;31;8;2798786
exp1c;control-customactionselection;31;9;2586613
exp1c;control-customactionselection;31;10;2762276
exp1c;experimental;28;1;3200882
exp1c;experimental;28;2;3351665
exp1c;experimental;28;3;3731371
exp1c;experimental;28;4;3455385
exp1c;experimental;28;5;4226878
exp1c;experimental;28;6;2913295
exp1c;experimental;28;7;3808129
exp1c;experimental;28;8;3252325
exp1c;experimental;28;9;4061851
exp1c;experimental;51;1;3161857
exp1c;experimental;51;2;3083545
exp1c;experimental;51;3;4554216
exp1c;experimental;51;4;5106716
exp1c;experimental;51;5;5642354
exp1c;experimental;51;6;6224144
exp1c;experimental;51;7;5462495
exp1c;experimental;51;8;6648663
exp1c;experimental;51;9;5799826
exp1c;experimental;51;10;6369268
exp1c;control-customactionselection;1;1;2881282
exp1c;control-customactionselection;1;2;3103963
exp1c;control-customactionselection;1;3;2779492
exp1c;control-customactionselection;1;4;2802108
