Experiment;Condition;Run;Sequence;Total;Application
exp1i;experimental;4;8;16559;11940
exp1i;experimental;4;4;15703;11118
exp1i;experimental;4;2;14513;9950
exp1i;experimental;4;7;16559;11940
exp1i;experimental;4;6;16418;11799
exp1i;experimental;4;0;12798;8402
exp1i;experimental;4;1;13763;9200
exp1i;experimental;4;3;15240;10655
exp1i;experimental;4;9;16559;11940
exp1i;experimental;4;5;16269;11675
exp1i;experimental;46;0;11223;7106
exp1i;experimental;46;5;12432;8095
exp1i;experimental;46;6;1930;1197
exp1i;experimental;46;2;1942;1196
exp1i;experimental;46;3;1871;1146
exp1i;experimental;46;8;1876;1197
exp1i;experimental;46;7;2607;1237
exp1i;experimental;46;1;13358;9130
exp1i;experimental;46;9;1877;1198
exp1i;control-customactionselection;37;4;10987;7198
exp1i;control-customactionselection;37;1;13096;9009
exp1i;control-customactionselection;37;3;1894;1150
exp1i;control-customactionselection;37;5;11510;7691
exp1i;control-customactionselection;37;0;12840;8761
exp1i;control-customactionselection;37;2;13153;9060
exp1i;control-customactionselection;37;7;1877;1146
exp1i;control-customactionselection;37;6;11510;7691
exp1i;experimental;59;3;14334;9934
exp1i;experimental;59;5;15054;10645
exp1i;experimental;59;2;13464;9224
exp1i;experimental;59;4;14769;10360
exp1i;experimental;59;6;15227;10818
exp1i;experimental;59;9;15251;10842
exp1i;experimental;59;8;15251;10842
exp1i;experimental;59;1;12705;8600
exp1i;experimental;59;0;9980;6172
exp1i;experimental;59;7;15251;10842
exp1i;experimental;111;8;16747;11309
exp1i;experimental;111;2;15843;10431
exp1i;experimental;111;6;16711;11273
exp1i;experimental;111;1;15768;10370
exp1i;experimental;111;4;16604;11166
exp1i;experimental;111;7;16711;11273
exp1i;experimental;111;0;14232;9001
exp1i;experimental;111;5;16604;11166
exp1i;experimental;111;3;16580;11148
exp1i;experimental;111;9;16770;11332
exp1i;control-customactionselection;51;4;13620;9392
exp1i;control-customactionselection;51;5;13620;9392
exp1i;control-customactionselection;51;1;12786;8570
exp1i;control-customactionselection;51;6;14076;9848
exp1i;control-customactionselection;51;3;13620;9392
exp1i;control-customactionselection;51;0;11419;7308
exp1i;control-customactionselection;51;8;14080;9848
exp1i;control-customactionselection;51;7;14080;9848
exp1i;control-customactionselection;51;2;13291;9063
exp1i;experimental;43;3;15007;10620
exp1i;experimental;43;8;15826;11406
exp1i;experimental;43;9;15831;11411
exp1i;experimental;43;4;15107;10704
exp1i;experimental;43;7;15809;11392
exp1i;experimental;43;6;15760;11343
exp1i;experimental;43;2;14722;10441
exp1i;experimental;43;5;15161;10758
exp1i;experimental;43;1;14014;9752
exp1i;experimental;43;0;11812;7668
exp1i;experimental;48;7;15125;10718
exp1i;experimental;48;3;14318;10073
exp1i;experimental;48;9;15357;10950
exp1i;experimental;48;6;14967;10560
exp1i;experimental;48;2;14203;9973
exp1i;experimental;48;1;11695;7578
exp1i;experimental;48;4;14318;10073
exp1i;experimental;48;5;14967;10560
exp1i;experimental;48;0;11686;7573
exp1i;experimental;48;8;15125;10718
exp1i;control-defaultactionselection;21;5;14787;10617
exp1i;control-defaultactionselection;21;9;15292;11114
exp1i;control-defaultactionselection;21;0;12468;8362
exp1i;control-defaultactionselection;21;7;15157;10983
exp1i;control-defaultactionselection;21;4;14484;10320
exp1i;control-defaultactionselection;21;6;15157;10983
exp1i;control-defaultactionselection;21;8;15157;10983
exp1i;control-defaultactionselection;21;2;13617;9502
exp1i;control-defaultactionselection;21;1;13022;8907
exp1i;control-defaultactionselection;21;3;14484;10320
exp1i;control-defaultactionselection;49;8;1946;1200
