Experiment;Condition;Run;Sequence;Result
exp1i;experimental;4;1;0
exp1i;experimental;4;2;0
exp1i;experimental;4;3;0
exp1i;experimental;4;4;0
exp1i;experimental;4;5;0
exp1i;experimental;4;6;0
exp1i;experimental;4;7;0
exp1i;experimental;4;8;0
exp1i;experimental;4;9;0
exp1i;experimental;4;10;0
exp1i;experimental;46;1;0
exp1i;experimental;46;2;0
exp1i;experimental;46;3;0
exp1i;experimental;46;4;0
exp1i;experimental;46;5;1
exp1i;experimental;46;6;0
exp1i;experimental;46;7;1
exp1i;experimental;46;8;1
exp1i;experimental;46;9;1
exp1i;experimental;46;10;1
exp1i;plain;1;1;0
exp1i;plain;1;2;0
exp1i;plain;1;3;0
exp1i;plain;1;4;0
exp1i;plain;1;5;0
exp1i;plain;1;6;0
exp1i;plain;1;7;0
exp1i;plain;1;8;1
exp1i;plain;1;9;0
exp1i;plain;1;10;0
exp1i;control-customactionselection;37;1;0
exp1i;control-customactionselection;37;2;0
exp1i;control-customactionselection;37;3;0
exp1i;control-customactionselection;37;4;0
exp1i;control-customactionselection;37;5;0
exp1i;control-customactionselection;37;6;0
exp1i;control-customactionselection;37;7;0
exp1i;control-customactionselection;37;8;0
exp1i;experimental;59;1;0
exp1i;experimental;59;2;0
exp1i;experimental;59;3;0
exp1i;experimental;59;4;0
exp1i;experimental;59;5;0
exp1i;experimental;59;6;0
exp1i;experimental;59;7;0
exp1i;experimental;59;8;0
exp1i;experimental;59;9;0
exp1i;experimental;59;10;0
exp1i;experimental;111;1;0
exp1i;experimental;111;2;0
exp1i;experimental;111;3;0
exp1i;experimental;111;4;0
exp1i;experimental;111;5;0
exp1i;experimental;111;6;0
exp1i;experimental;111;7;0
exp1i;experimental;111;8;0
exp1i;experimental;111;9;0
exp1i;experimental;111;10;0
exp1i;control-customactionselection;51;1;0
exp1i;control-customactionselection;51;2;0
exp1i;control-customactionselection;51;3;0
exp1i;control-customactionselection;51;4;0
exp1i;control-customactionselection;51;5;0
exp1i;control-customactionselection;51;6;0
exp1i;control-customactionselection;51;7;0
exp1i;control-customactionselection;51;8;0
exp1i;control-customactionselection;51;9;0
exp1i;control-customactionselection;51;10;1
exp1i;experimental;43;1;0
exp1i;experimental;43;2;0
exp1i;experimental;43;3;0
exp1i;experimental;43;4;0
exp1i;experimental;43;5;0
exp1i;experimental;43;6;0
exp1i;experimental;43;7;0
exp1i;experimental;43;8;0
