Experiment;Condition;Run;Runtime;Actions
exp1i;experimental;4;27439597;3030
exp1i;experimental;46;28782038;1957
exp1i;plain;1;4203809;2968
exp1i;control-customactionselection;37;43116325;2723
exp1i;experimental;59;26799678;3030
exp1i;experimental;111;27246156;3030
exp1i;control-customactionselection;51;19770316;2732
exp1i;experimental;43;29941743;2972
exp1i;plain;4;4348304;3030
exp1i;experimental;48;33173114;3030
exp1i;control-defaultactionselection;21;22405393;3030
exp1i;control-defaultactionselection;49;21480168;3030
exp1i;plain;44;4147639;3030
exp1i;control-defaultactionselection;53;21282584;2727
exp1i;control-defaultactionselection;40;15676200;572
exp1i;control-defaultactionselection;41;23742720;3030
exp1i;control-customactionselection;52;20352868;3030
exp1i;control-defaultactionselection;32;22189685;3030
exp1i;control-defaultactionselection;37;26622502;2263
exp1i;control-customactionselection;17;22692349;3030
exp1i;plain;13;4365074;3030
exp1i;control-defaultactionselection;46;22695864;3030
exp1i;experimental;81;26141719;3030
exp1i;control-customactionselection;36;21728797;3030
exp1i;plain;3;4255601;3030
exp1i;control-defaultactionselection;33;21326022;3030
exp1i;control-defaultactionselection;12;21417068;3030
exp1i;control-defaultactionselection;44;21685517;3030
exp1i;plain;43;4240626;3030
exp1i;control-defaultactionselection;11;20965653;3030
exp1i;experimental;41;30276143;3030
exp1i;plain;16;4233118;3030
exp1i;control-customactionselection;27;21595552;3030
exp1i;plain;10;4257261;3030
exp1i;control-customactionselection;43;21740749;3030
exp1i;control-defaultactionselection;54;22826385;3030
exp1i;control-defaultactionselection;5;22928594;3030
exp1i;plain;48;4054569;2949
exp1i;experimental;8;25831981;3030
exp1i;control-defaultactionselection;22;19933286;3030
exp1i;plain;36;4144789;3030
exp1i;control-customactionselection;20;22655266;3030
exp1i;plain;6;4092168;3030
exp1i;plain;11;4093887;3030
exp1i;plain;46;4348040;3030
exp1i;control-customactionselection;7;20537802;3030
exp1i;plain;41;4142395;3030
exp1i;plain;17;4032541;3030
exp1i;plain;20;3958615;3030
exp1i;plain;2;4139845;3030
exp1i;experimental;1;27794708;3030
exp1i;control-customactionselection;14;20531050;3030
exp1i;control-defaultactionselection;19;21451680;3030
exp1i;control-customactionselection;12;19623127;3030
exp1i;control-defaultactionselection;18;28625862;1869
exp1i;control-customactionselection;29;26984869;2769
exp1i;control-customactionselection;22;22471294;2734
exp1i;plain;39;4060222;2932
exp1i;plain;30;4293005;3030
exp1i;control-defaultactionselection;1;21309008;3030
exp1i;control-customactionselection;16;22175953;3030
exp1i;control-customactionselection;13;21513932;3030
exp1i;experimental;3;25463412;3030
exp1i;plain;25;4165225;3030
exp1i;experimental;12;27957599;3030
