Experiment;Condition;Run;Sequence;Time
exp1i;experimental;4;1;2921126
exp1i;experimental;4;2;2421204
exp1i;experimental;4;3;2994763
exp1i;experimental;4;4;2558836
exp1i;experimental;4;5;3030870
exp1i;experimental;4;6;2394212
exp1i;experimental;4;7;2602189
exp1i;experimental;4;8;2426536
exp1i;experimental;4;9;2961540
exp1i;experimental;4;10;2727298
exp1i;experimental;46;1;2594438
exp1i;experimental;46;2;2649257
exp1i;experimental;46;3;2884309
exp1i;experimental;46;4;2852155
exp1i;experimental;46;5;1010195
exp1i;experimental;46;6;3215008
exp1i;experimental;46;7;8575925
exp1i;experimental;46;8;993006
exp1i;experimental;46;9;1416903
exp1i;experimental;46;10;99968
exp1i;plain;1;1;416964
exp1i;plain;1;2;431146
exp1i;plain;1;3;410206
exp1i;plain;1;4;422263
exp1i;plain;1;5;412467
exp1i;plain;1;6;361595
exp1i;plain;1;7;389331
exp1i;plain;1;8;292966
exp1i;plain;1;9;387848
exp1i;plain;1;10;419805
exp1i;control-customactionselection;37;1;2738282
exp1i;control-customactionselection;37;2;2270868
exp1i;control-customactionselection;37;3;2345143
exp1i;control-customactionselection;37;4;2180739
exp1i;control-customactionselection;37;5;2167882
exp1i;control-customactionselection;37;6;1771678
exp1i;control-customactionselection;37;7;1759587
exp1i;control-customactionselection;37;8;2129083
exp1i;experimental;59;1;1713703
exp1i;experimental;59;2;4337396
exp1i;experimental;59;3;2836793
exp1i;experimental;59;4;3561763
exp1i;experimental;59;5;2793803
exp1i;experimental;59;6;2483453
exp1i;experimental;59;7;2344401
exp1i;experimental;59;8;2302384
exp1i;experimental;59;9;1731698
exp1i;experimental;59;10;2407064
exp1i;experimental;111;1;2866445
exp1i;experimental;111;2;2897007
exp1i;experimental;111;3;1849014
exp1i;experimental;111;4;3155664
exp1i;experimental;111;5;2917650
exp1i;experimental;111;6;2825422
exp1i;experimental;111;7;2701188
exp1i;experimental;111;8;1650374
exp1i;experimental;111;9;3006629
exp1i;experimental;111;10;3069486
exp1i;control-customactionselection;51;1;1671715
exp1i;control-customactionselection;51;2;2301621
exp1i;control-customactionselection;51;3;2356187
exp1i;control-customactionselection;51;4;2408484
exp1i;control-customactionselection;51;5;2373826
exp1i;control-customactionselection;51;6;1386325
exp1i;control-customactionselection;51;7;2175217
exp1i;control-customactionselection;51;8;1690741
exp1i;control-customactionselection;51;9;1728929
exp1i;control-customactionselection;51;10;1008343
exp1i;experimental;43;1;3711545
exp1i;experimental;43;2;3233780
exp1i;experimental;43;3;3402938
exp1i;experimental;43;4;2679477
exp1i;experimental;43;5;2894501
exp1i;experimental;43;6;2682847
exp1i;experimental;43;7;3032808
exp1i;experimental;43;8;2405893
exp1i;experimental;43;9;3008267
exp1i;experimental;43;10;2594227
exp1i;plain;4;1;424743
exp1i;plain;4;2;436293
exp1i;plain;4;3;411076
exp1i;plain;4;4;416706
exp1i;plain;4;5;432456
exp1i;plain;4;6;367088
exp1i;plain;4;7;354345
exp1i;plain;4;8;381849
exp1i;plain;4;9;429303
exp1i;plain;4;10;431052
exp1i;experimental;48;1;2696316
exp1i;experimental;48;2;3037168
exp1i;experimental;48;3;2507526
exp1i;experimental;48;4;2696097
exp1i;experimental;48;5;2352516
exp1i;experimental;48;6;2589285
exp1i;experimental;48;7;2098936
exp1i;experimental;48;8;9481246
exp1i;experimental;48;9;2703594
exp1i;experimental;48;10;2711874
exp1i;control-defaultactionselection;21;1;2526643
exp1i;control-defaultactionselection;21;2;2768899
exp1i;control-defaultactionselection;21;3;2637434
exp1i;control-defaultactionselection;21;4;2207095
exp1i;control-defaultactionselection;21;5;1774894
exp1i;control-defaultactionselection;21;6;2400567
exp1i;control-defaultactionselection;21;7;2511554
exp1i;control-defaultactionselection;21;8;1378511
exp1i;control-defaultactionselection;21;9;1679390
exp1i;control-defaultactionselection;21;10;2210289
exp1i;control-defaultactionselection;49;1;2234303
exp1i;control-defaultactionselection;49;2;1429126
exp1i;control-defaultactionselection;49;3;2578526
exp1i;control-defaultactionselection;49;4;1889495
exp1i;control-defaultactionselection;49;5;2347208
exp1i;control-defaultactionselection;49;6;2563086
exp1i;control-defaultactionselection;49;7;1840970
exp1i;control-defaultactionselection;49;8;1895280
exp1i;control-defaultactionselection;49;9;2109702
exp1i;control-defaultactionselection;49;10;2176363
exp1i;plain;44;1;432972
exp1i;plain;44;2;346060
exp1i;plain;44;3;377615
exp1i;plain;44;4;348289
exp1i;plain;44;5;413743
exp1i;plain;44;6;411843
exp1i;plain;44;7;414593
exp1i;plain;44;8;359926
exp1i;plain;44;9;426009
exp1i;plain;44;10;358128
exp1i;control-defaultactionselection;53;1;2564524
exp1i;control-defaultactionselection;53;2;2060655
exp1i;control-defaultactionselection;53;3;1960616
exp1i;control-defaultactionselection;53;4;1473464
exp1i;control-defaultactionselection;53;5;2557939
exp1i;control-defaultactionselection;53;6;2698920
exp1i;control-defaultactionselection;53;7;1012115
exp1i;control-defaultactionselection;53;8;2088150
exp1i;control-defaultactionselection;53;9;2511223
exp1i;control-defaultactionselection;53;10;1683166
exp1i;control-defaultactionselection;40;1;1561805
exp1i;control-defaultactionselection;41;1;2516402
exp1i;control-defaultactionselection;41;2;2846017
exp1i;control-defaultactionselection;41;3;1568089
exp1i;control-defaultactionselection;41;4;2265892
exp1i;control-defaultactionselection;41;5;2435080
exp1i;control-defaultactionselection;41;6;2424081
exp1i;control-defaultactionselection;41;7;2508824
exp1i;control-defaultactionselection;41;8;2628321
exp1i;control-defaultactionselection;41;9;1981750
exp1i;control-defaultactionselection;41;10;2211521
exp1i;control-customactionselection;52;1;1422329
exp1i;control-customactionselection;52;2;2298542
exp1i;control-customactionselection;52;3;1392919
exp1i;control-customactionselection;52;4;2337316
exp1i;control-customactionselection;52;5;2083570
exp1i;control-customactionselection;52;6;2034105
exp1i;control-customactionselection;52;7;2007582
exp1i;control-customactionselection;52;8;2656965
exp1i;control-customactionselection;52;9;2148576
exp1i;control-customactionselection;52;10;1677749
exp1i;control-defaultactionselection;32;1;1392962
exp1i;control-defaultactionselection;32;2;2097049
exp1i;control-defaultactionselection;32;3;2315487
exp1i;control-defaultactionselection;32;4;1579382
exp1i;control-defaultactionselection;32;5;2664790
exp1i;control-defaultactionselection;32;6;2339047
exp1i;control-defaultactionselection;32;7;2331951
exp1i;control-defaultactionselection;32;8;2404648
exp1i;control-defaultactionselection;32;9;1758276
exp1i;control-defaultactionselection;32;10;3008046
exp1i;control-defaultactionselection;37;1;2538587
exp1i;control-defaultactionselection;37;2;5204475
exp1i;control-defaultactionselection;37;3;4222121
exp1i;control-defaultactionselection;37;4;999372
exp1i;control-defaultactionselection;37;5;1590353
exp1i;control-defaultactionselection;37;6;1645120
exp1i;control-defaultactionselection;37;7;2467091
exp1i;control-defaultactionselection;37;8;1648026
exp1i;control-defaultactionselection;37;9;3482957
exp1i;control-defaultactionselection;37;10;1031299
exp1i;control-customactionselection;17;1;2304618
exp1i;control-customactionselection;17;2;2947920
exp1i;control-customactionselection;17;3;1962870
exp1i;control-customactionselection;17;4;2090014
exp1i;control-customactionselection;17;5;1515919
exp1i;control-customactionselection;17;6;2168901
exp1i;control-customactionselection;17;7;2261793
exp1i;control-customactionselection;17;8;2079770
exp1i;control-customactionselection;17;9;2504866
exp1i;control-customactionselection;17;10;2497144
exp1i;plain;13;1;347551
exp1i;plain;13;2;378585
exp1i;plain;13;3;426064
exp1i;plain;13;4;434402
exp1i;plain;13;5;417298
exp1i;plain;13;6;405348
exp1i;plain;13;7;422750
exp1i;plain;13;8;408711
exp1i;plain;13;9;433158
exp1i;plain;13;10;435925
exp1i;control-defaultactionselection;46;1;1932866
exp1i;control-defaultactionselection;46;2;2606354
exp1i;control-defaultactionselection;46;3;1494204
exp1i;control-defaultactionselection;46;4;2612413
exp1i;control-defaultactionselection;46;5;2701654
exp1i;control-defaultactionselection;46;6;2500525
exp1i;control-defaultactionselection;46;7;2256526
exp1i;control-defaultactionselection;46;8;2193079
exp1i;control-defaultactionselection;46;9;2259348
exp1i;control-defaultactionselection;46;10;1807703
exp1i;experimental;81;1;3057656
exp1i;experimental;81;2;3742600
