Condition;File;Line number
experimental;/opt/indico/src/indico/modules/logs/util.py;131
experimental;/opt/indico/src/indico/modules/logs/util.py;133
experimental;/opt/indico/src/indico/modules/logs/util.py;134
experimental;/usr/lib/python3.9/difflib.py;381
experimental;/usr/lib/python3.9/difflib.py;383
experimental;/usr/lib/python3.9/difflib.py;385
experimental;/usr/lib/python3.9/difflib.py;386
experimental;/usr/lib/python3.9/difflib.py;387
experimental;/usr/lib/python3.9/difflib.py;459
experimental;/usr/lib/python3.9/difflib.py;460
experimental;/usr/lib/python3.9/difflib.py;462
experimental;/usr/lib/python3.9/difflib.py;473
experimental;/usr/lib/python3.9/difflib.py;477
experimental;/usr/lib/python3.9/difflib.py;486
experimental;/usr/lib/python3.9/difflib.py;534
experimental;/usr/lib/python3.9/difflib.py;536
experimental;/usr/lib/python3.9/difflib.py;537
experimental;/usr/lib/python3.9/difflib.py;544
experimental;/opt/indico/src/indico/web/flask/app.py;453
experimental;/opt/indico/src/indico/web/flask/app.py;454
experimental;/opt/indico/src/indico/web/forms/validators.py;36
experimental;/opt/indico/src/indico/web/forms/validators.py;37
experimental;/opt/indico/src/indico/web/templates/forms/typeahead_widget.html;46
experimental;/opt/indico/src/indico/web/templates/forms/typeahead_widget.html;47
experimental;/opt/indico/src/indico/web/templates/forms/typeahead_widget.html;48
experimental;/opt/indico/src/indico/modules/attachments/controllers/util.py;41
experimental;/opt/indico/src/indico/modules/attachments/controllers/util.py;47
experimental;/opt/indico/src/indico/modules/attachments/logging.py;81
experimental;/opt/indico/src/indico/modules/attachments/logging.py;82
experimental;/opt/indico/src/indico/modules/attachments/logging.py;87
experimental;/opt/indico/src/indico/modules/attachments/logging.py;88
experimental;/opt/indico/src/indico/modules/designer/controllers.py;225
experimental;/opt/indico/src/indico/modules/designer/controllers.py;226
experimental;/opt/indico/src/indico/modules/designer/controllers.py;227
experimental;/opt/indico/src/indico/modules/designer/controllers.py;228
experimental;/opt/indico/src/indico/modules/designer/controllers.py;229
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/category.py;63
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/category.py;64
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/category.py;69
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/category.py;70
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;205
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;206
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;207
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;208
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;209
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;211
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;212
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;213
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;214
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;215
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;216
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;217
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;218
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;225
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;226
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;227
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;228
experimental;/opt/indico/src/indico/modules/attachments/controllers/management/base.py;229
experimental;/usr/lib/python3.9/difflib.py;395
experimental;/usr/lib/python3.9/difflib.py;396
experimental;/usr/lib/python3.9/difflib.py;411
experimental;/usr/lib/python3.9/difflib.py;461
experimental;/usr/lib/python3.9/difflib.py;463
experimental;/usr/lib/python3.9/difflib.py;482
experimental;/usr/lib/python3.9/difflib.py;484
experimental;/opt/indico/src/indico/modules/categories/fields.py;40
experimental;/opt/indico/src/indico/modules/categories/fields.py;41
experimental;/opt/indico/src/indico/modules/categories/fields.py;42
experimental;/opt/indico/src/indico/modules/categories/fields.py;43
experimental;/opt/indico/src/indico/modules/categories/fields.py;47
experimental;/opt/indico/src/indico/web/forms/fields/location.py;31
experimental;/opt/indico/src/indico/web/forms/fields/location.py;32
experimental;/opt/indico/src/indico/web/forms/fields/location.py;33
experimental;/opt/indico/src/indico/web/forms/fields/location.py;34
experimental;/opt/indico/src/indico/web/forms/fields/location.py;35
experimental;/opt/indico/src/indico/web/forms/fields/location.py;36
experimental;/opt/indico/src/indico/web/forms/fields/location.py;37
experimental;/opt/indico/src/indico/web/forms/fields/location.py;38
experimental;/opt/indico/src/indico/web/forms/fields/location.py;53
experimental;/opt/indico/src/indico/web/forms/fields/location.py;58
